book,totalRefs,filledRefs
GEN,2624,2450
EXO,802,632
LEV,225,225
NUM,1122,1063
DEU,174,168
JOS,502,428
JDG,504,496
RUT,175,167
1SA,1352,1305
2SA,1470,1384
1KI,1258,1151
2KI,1205,1112
1CH,2454,1610
2CH,1064,927
EZR,468,250
NEH,665,270
EST,366,354
JOB,99,98
PSA,228,206
PRO,11,9
ECC,8,8
SNG,10,8
ISA,272,243
JER,749,592
LAM,3,3
EZK,175,152
DAN,365,312
HOS,33,32
JOL,3,3
AMO,40,34
OBA,15,15
JON,23,21
MIC,28,28
NAM,3,2
HAB,2,2
ZEP,7,7
HAG,34,34
ZEC,55,46
MAL,12,12
MAT,629,629
MRK,557,532
LUK,818,793
JHN,661,649
ACT,875,821
ROM,161,135
1CO,111,108
2CO,83,78
GAL,89,89
EPH,54,54
PHP,52,51
COL,49,45
1TH,24,24
2TH,18,18
1TI,23,22
2TI,44,37
TIT,10,10
PHM,21,18
HEB,125,119
JAS,9,7
1PE,27,26
2PE,14,14
1JN,38,38
2JN,8,4
3JN,4,3
JUD,16,14
REV,80,78
