qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q1384449,1,1,0,1,1
Q302,87,4,83,82,24
Q40662,9,0,9,9,6
Q33923,76,76,0,71,12
Q44015,18,17,1,18,7
Q43999,5,5,0,5,4
Q43399,4,4,0,4,3
Q43675,4,4,0,4,3
Q43669,4,4,0,4,3
Q43982,4,4,0,4,3
Q43600,4,4,0,4,3
Q44047,7,7,0,7,6
Q106075464,1,0,1,1,1
Q12871,4,4,0,4,3
Q43945,4,4,0,4,3
Q345,1,1,0,1,1
Q41370,12,0,12,11,6
Q81018,3,1,2,3,1
Q983883,3,3,0,2,1
Q44020,4,4,0,4,2
Q45053,1,0,1,1,1
Q37085,3,0,3,3,3
Q9181,11,0,11,10,3
Q671872,4,0,4,3,2
Q289957,8,0,8,7,2
Q17131,3,0,3,3,3
Q313417,1,0,1,1,1
Q9077,23,0,23,23,8
Q6577515,1,0,1,1,1
Q51680,5,5,0,4,2
Q211246,1,1,0,1,1
Q126372611,1,1,0,1,1
Q192950,2,0,2,2,2
Q185856,32,32,0,30,7
Q37946276,6,6,0,6,1
Q37946284,3,3,0,3,1
Q310584,2,2,0,2,1
Q562394,1,0,1,1,1
Q371624,1,1,0,1,1
Q161775,14,13,1,14,5
Q508571,16,16,0,14,3
Q1169498,1,1,0,1,1
Q2183266,1,1,0,1,1
Q1398612,1,1,0,1,1
Q586541,1,0,1,1,1
Q145746,5,0,5,5,1
Q51676,1,0,1,1,1
Q7734,1,0,1,1,1
Q9200,223,221,2,210,21
Q139830617,5,5,0,5,1
Q1374017,7,7,0,6,1
Q188794,4,0,4,4,2
Q382898,6,5,1,5,2
Q3725177,3,3,0,2,1
Q693055,4,4,0,3,1
Q47267586,4,1,3,4,2
Q435987,11,11,0,11,2
Q335127,2,2,0,2,2
Q1411,1,0,1,1,1
Q298636,10,10,0,9,1
Q3311767,1,1,0,1,1
Q1992340,9,7,2,6,3
Q7320830,1,1,0,1,1
Q33100712,1,1,0,1,1
Q139830869,1,1,0,1,1
Q1398261,1,1,0,1,1
Q3300101,1,1,0,1,1
Q982942,3,3,0,3,1
Q2566388,5,5,0,3,1
Q28730,2,0,2,2,1
Q2915270,1,0,1,1,1
Q45090,1,0,1,1,1
Q1710870,3,3,0,3,1
Q312376,17,17,0,17,4
Q212647,7,7,0,7,5
Q292282,2,2,0,2,1
Q978409,4,4,0,4,1
Q310686,1,1,0,1,1
Q466687,1,1,0,1,1
Q46512139,4,4,0,4,1
Q22661413,4,4,0,4,1
Q452194,3,3,0,3,1
Q1091308,1,1,0,1,1
Q335114,3,3,0,3,2
Q127582207,1,1,0,1,1
Q3567249,1,1,0,1,1
Q126616157,1,1,0,1,1
Q468859,2,2,0,2,2
Q110624753,1,1,0,1,1
Q1396807,1,1,0,1,1
Q4207124,2,2,0,2,2
Q3438613,1,1,0,1,1
Q16934159,1,1,0,1,1
Q2376069,20,20,0,20,4
Q316915,14,13,1,12,3
Q485854,1,1,0,1,1
Q3518955,2,2,0,2,1
Q464307,17,17,0,16,3
Q313419,16,16,0,16,2
Q466696,3,3,0,3,2
Q126491011,7,7,0,7,2
